x,y,AngX,AngKu,mvs,rms,tsoil
-107.911513850639,39.0353220561046,42.0381215438632,42.0630410953393,0.0148871834151618,0.0124768907951608,0
-107.911569523012,39.035588671395,42.7007394720526,42.7252404699492,0.0423116526742471,0.00206908455022491,0
-107.911625195866,39.0358552866321,43.3588286042793,43.3865494989935,0.0592647342694052,0.00133584336968947,0
-107.9116808692,39.036121901816,44.0105725759807,44.0394590426033,0.0565906531154935,0.00175380604516791,0
-107.911736543014,39.0363885169467,44.66174233093,44.6862452502903,0.0511976240196241,0.00168449719519777,0
-107.911792217309,39.0366551320242,45.3150267605161,45.3316806050205,0.0531969936563968,0.00160268726738683,0
-107.911847892083,39.0369217470485,45.9584925184557,45.970710990797,0.0455826152831708,0.00248928860033841,0
-107.911903567338,39.0371883620196,46.5710432718273,46.5868776791888,0.0602833859973439,0.0117717494104807,0
-107.911959243073,39.0374549769375,47.1404037888327,47.1662568148223,0.054524519342406,0.00218207853722504,0
-107.91212627316,39.0382548213719,48.7451429203395,48.7859166481855,0.0380331414061128,0.00798946041097736,0
-107.912293307569,39.0390546653275,50.3290454758769,50.351746182434,0.0217545458722189,0.0103050525636585,0
-107.912348986665,39.0393212798729,50.8339220940138,50.8673833756485,0.015184049883568,0.0119140771916379,0
-107.912404666243,39.0395878943651,51.3313467952892,51.3637621014894,0.0175181609092726,0.0108161042733031,0
-107.9124603463,39.0398545088041,51.8226322273238,51.8537569205043,0.0104957799675645,0.0117487469096857,0
-107.912516026838,39.0401211231899,52.3049992419801,52.333948474807,0.0119482220591656,0.0115823096033644,0
-107.912571707856,39.0403877375225,52.7731135094782,52.7983199150035,0.0128392588342026,0.0110086295228476,0
-107.912627389354,39.0406543518018,53.2247219620003,53.2443838281528,0.0129157419243322,0.0113560297023978,0
-107.912683071333,39.040920966028,53.6638447931508,53.7476354021086,0.0233421730696364,0.0108128053598239,0
-107.912794436732,39.0414541943206,54.5123139671733,54.5928339274012,0.0643303403948629,0.0117250414081259,0
-107.912850120152,39.0417208083871,54.728059017745,54.7548898171569,0.0804453766442156,0.0108950489272569,0
-107.911800028436,39.0350120208684,41.3472781633507,41.3797233459311,0.0377845324586984,0.00300576112508106,0
-107.911855701561,39.0352786360026,42.02055844076,42.0477466774979,0.0152792683156127,0.0136237450481294,0
-107.911911375167,39.0355452510835,42.6885152879387,42.7135352758628,0.0440183124837359,0.00267633927365005,0
-107.912078398865,39.0363450960072,44.6633248355222,44.6818093277545,0.0470738500439664,0.00193572360475523,0
-107.912134074392,39.0366117108754,45.3350623613891,45.3486960311964,0.0468810875820335,0.00291600204909449,0
-107.912189750398,39.0368783256903,45.9920409704928,46.0037950762866,0.048951455871556,0.00206568377240255,0
-107.912301103852,39.0374115551605,47.1705468731341,47.186079234867,0.00944116073863669,0.0128133842331332,0
-107.9123567813,39.0376781698159,47.702009939393,47.7183589655373,0.0427433888320052,0.00225828951152006,0
-107.912412459228,39.037944784418,48.2266729772303,48.2431593816219,0.0469681185780186,0.00219960790666129,0
-107.912523816524,39.0384780134625,49.2880118223387,49.3107093994947,0.0151119533987646,0.0114222481944682,0
-107.912579495892,39.038744627905,49.809475321014,49.8376505748369,0.0132666751900128,0.0124068184368729,0
-107.912635175741,39.0390112422942,50.3186071996139,50.351746182434,0.0407151510130742,0.00429371360725685,0
-107.91274653688,39.0395444709131,51.3137337138052,51.3514880648182,0.0112986835000103,0.0128412530518609,0
-107.912857899939,39.0400776993191,52.3059052704278,52.336456336884,0.0140926938081373,0.0119984368277822,0
-107.91291358219,39.0403443134423,52.7969399000788,52.8190779174452,0.0174313673374167,0.0110420649533404,0
-107.91296926492,39.0406109275122,53.2782846608157,53.2898094066458,0.00919332364719039,0.0117403576196192,0
-107.913024948132,39.040877541529,53.7463707706211,53.7476354021086,0.0224872251930098,0.0107867196765,0
-107.913080631823,39.0411441554925,54.1948153992722,54.310850092183,0.0299154467397106,0.0111115594873292,0
-107.913136315995,39.0414107694028,54.5819233108726,54.5928339274012,0.0556788035829145,0.0115837677503048,0
-107.912197552004,39.0352352149128,42.0010492054152,42.0288768531196,0.0404586481438656,0.00287261972855376,0
-107.912253226842,39.0355018297844,42.6835698771945,42.7064464165604,0.0165143922292851,0.0124423492941931,0
-107.912475930994,39.0365682887387,45.3642714226068,45.3758892575433,0.0551839280565723,0.00205229446553877,0
-107.912531608233,39.0368349033443,46.0241364785289,46.038183055218,0.0502972876167686,0.00222788553116475,0
-107.912587285952,39.0371015178966,46.6442185425997,46.6605128534234,0.143546217434008,0.00822379630375901,0
-107.912698642831,39.0376347468417,47.7570291608112,47.7698902525499,0.0486269178390916,0.00252838031496978,0
-107.912810001631,39.0381679755739,48.8041683440548,48.8196875376666,0.0500783943452301,0.00224769514970402,0
-107.91319977256,39.0400342744604,52.3093602507502,52.3375790018369,0.0185533846472373,0.011326149204136,0
-107.913255456043,39.0403008883741,52.8305139730702,52.8483054888014,0.0130610008246863,0.0113605693745265,0
-107.913311140006,39.0405675022347,53.3470189910182,53.353668998935,0.0246807826738156,0.0106571308038312,0
-107.912595078036,39.0354584074974,42.6827771716757,42.7055722698044,0.0466118809657503,0.0021964564883857,0
-107.912650754586,39.0357250221065,43.370989908685,43.3878247663673,0.0366495018230478,0.0115052433724746,0
-107.912706431616,39.0359916366623,44.0495718383222,44.0613919136025,0.0446304125927096,0.00309183033439457,0
-107.912762109126,39.0362582511649,44.7258976291776,44.7359746649147,0.0491062634136745,0.00221315749371776,0
-107.912817787117,39.0365248656143,45.3971775972685,45.410378889577,0.0426292012251937,0.00212636456861945,0
-107.912873465588,39.0367914800105,46.0478676169283,46.0671983196132,0.0464141897375903,0.00227003066809526,0
-107.913207546499,39.03839116527,49.322423968399,49.3578684401679,0.041110333709548,0.00254196920244087,0
-107.913263228332,39.0386577792937,49.8042508457482,49.8448185291787,0.047027564370098,0.00248948120321784,0
-107.913318910645,39.0389243932642,50.2825329549966,50.3259906493823,0.0316145417639301,0.00687030970727156,0
-107.913541644701,39.0399908486137,52.3230424444848,52.3464099667835,0.0439155279257672,0.00320072538009965,0
-107.913597329416,39.0402574623181,52.8738410892969,52.8873799826273,0.020579484192773,0.0107277650158046,0
-107.913653014611,39.0405240759692,53.4197184923012,53.4252324262817,0.0880977717325757,0.0105633142418936,0
-107.913708700287,39.0407906895671,53.9434087701382,54.0279302974101,0.0930120509557277,0.0103911123542852,0
-107.913549410766,39.038347739692,49.3005061126958,49.3471107002143,0.0467022427837273,0.0026232182954207,0
-107.913605093831,39.0386143535063,49.7768793398442,49.8236708178843,0.0432682377169787,0.00279738066028223,0
-107.913660777376,39.0388809672673,50.2548338239926,50.2994722667553,0.0461704600349403,0.00250544622906834,0
-107.913883516362,39.0399474217792,52.3553596958901,52.3713227842144,0.0485848832505304,0.00285987624196189,0
-107.913939202309,39.0402140352741,52.928874557373,52.9382235655039,0.0333983338367964,0.010782283985307,0
-107.913994888736,39.0404806487158,53.4901446032049,53.4972137537964,0.0927866383760838,0.0103664136391786,0
-107.91394695885,39.038570926731,49.7437572567569,49.7922720158206,0.041907862354393,0.00268974397993211,0
-107.914002643627,39.0388375402826,50.23448669442,50.2767118819151,0.0459055946431835,0.00270418399390924,0
-107.914058328885,39.0391041537809,50.7398246067758,50.7743376017464,0.0411055723823186,0.00361866794311323,0
-107.914225387541,39.0399039939567,52.4049856327565,52.4164225977357,0.0445990956147521,0.00314780183798901,0
-107.914281074721,39.0401706072422,52.9892723262595,52.9988644062005,0.0167275524358588,0.0113891121694676,0
-107.914336762381,39.0404372204744,53.551147508274,53.563885851359,0.078317670313804,0.0109633156043708,0
-107.914288823388,39.0385274989678,49.7143043979217,49.7604818627926,0.0531667367152319,0.00240683099836221,0
-107.914344509398,39.03879411231,50.2223857521034,50.2619744317304,0.0455021367555898,0.00231451558276094,0
-107.914455882859,39.0393273388346,51.2970726580439,51.3515054821152,0.0198091498618306,0.010676298588326,0
-107.91451157031,39.0395939520171,51.8705434369103,51.9337850812297,0.0451414219811799,0.00263396369749738,0
-107.914567258241,39.0398605651464,52.4585322996924,52.4712948833521,0.0502140986901917,0.00277608892617294,0
-107.914622946653,39.0401271782224,53.0391038862562,53.0555859650078,0.0478284309757257,0.00328206483348428,0
-107.914678635545,39.0403937912452,53.5893772838184,53.6130355826353,0.0247314565333532,0.010849695512439,0
-107.914575000685,39.0382174570308,49.202282999353,49.2393513227194,0.0466547805092356,0.00248988173455315,0
-107.914797750614,39.0392839094553,51.3292857979531,51.3515054821152,0.00968621740943637,0.0116611966483689,0
