"x","y","AngX","AngKu","HHx","HHku","VVx","VVku","Volxh","Volkh","Volxv","Volkv","GXh","GKh",""
-107.910249931973,39.0376720710045,47.4130897513636,47.463455291012,-4.78626977557549,2.50598732839495,-7.29264109841952,-8.1745010584932,0.0597916411841199,0.174844404055949,0.0626467396591601,0.182871430279092,0.27238800826069,1.60588829191604,55
-107.910146442146,39.0354957266352,42.1117766048315,42.1539487920567,-11.2840256919794,-0.911255145344633,-18.5541350863819,-17.7957250205891,0.0699895143514329,0.208316074940825,0.0724276677872613,0.215299251209276,0.00441468210634456,0.602410642628667,56
-107.910202109592,39.0357623427628,42.7462878326074,42.7744740627665,-9.84282913244414,-0.287671004503899,-13.6497794044796,-13.7650977026248,0.0688076381239969,0.204465036749874,0.0713108273098434,0.211615266910674,0.0348776375651414,0.731442402892172,57
-107.910369114809,39.0365621908265,44.7135924162041,44.73770785987,-9.78640860066024,0.356430055713856,-13.8199582154196,-13.337457733165,0.0652297519499952,0.192634700522103,0.0678323299397868,0.200011050107535,0.0398113187496832,0.892898237262825,58
-107.910424784175,39.0368288067414,45.3286736730616,45.3625880292781,-10.5543713318403,0.592428487578293,-15.1950230815432,-13.8455213588497,0.0640080351741651,0.188585556337009,0.0666702971951499,0.196115821553658,0.0240082159699134,0.95756811207865,59
-107.910480454021,39.0370954226031,45.9623364107118,46.0028282249456,-10.4789332343371,0.778383951730086,-15.298137858369,-14.4734132710699,0.0627945278067207,0.184450539959669,0.065519999313827,0.192136514423583,0.0267639444618388,1.01184475642914,60
-107.910536124347,39.0373620384115,46.6363499320232,46.6794588414582,-10.2058559275009,1.04414234256837,-15.0798758640979,-15.0729708821692,0.0614042635184478,0.180205631157848,0.0641879302043447,0.188059724499115,0.0339663128423965,1.09158093799923,61
-107.91048829499,39.0354523104842,42.06926065411,42.1010089969658,-9.60065671090916,-0.561920293361759,-12.5975031012854,-14.6720298779762,0.0701115961124798,0.208698684106846,0.0725456029353369,0.215666313093461,0.0395196445494505,0.669935246627028,62
-107.910543963667,39.0357189264025,42.7274119839768,42.7493923740631,-9.27137592079093,-0.249043644273485,-12.4864752803854,-12.7471431190343,0.0688608912643975,0.204665144429726,0.0713613508204436,0.211805965936993,0.0494057894214953,0.739603645490583,63
-107.910933657854,39.0375852363413,47.2528993739003,47.2926550723826,-9.50676074911636,1.89418669464709,-13.8933593190425,-14.5770506565881,0.060169818232448,0.176093899524193,0.0630098612798033,0.184079940846827,0.0518574962226172,1.37065091765817,64
